section,id,label,reason,recommended_action
loadtest_environment,,,环境变量记录,确认压测环境与正式环境隔离
releases,,staging/a9c30f51-7af7-4b5c-acd3-20a889521a12.apk,staging,人工确认后再清理文件
releases,,staging/95db75e7-ac74-4e86-a6f9-33a7665bd01a.apk,staging,人工确认后再清理文件
releases,,staging/da149797-ea5b-4cc0-a505-4aa018183033.apk,staging,人工确认后再清理文件
releases,,staging/5537ce07-5fe9-4a66-a1fc-8d0d636a1249.apk,staging,人工确认后再清理文件
releases,,staging/fec58128-71e4-49f0-b1ca-854a60139ee5.apk,staging,人工确认后再清理文件
releases,,staging/9075d9a3-6f43-4f96-838f-633f8a92c5e3.apk,staging,人工确认后再清理文件
releases,,staging/131fa121-ebbb-435e-ac95-0dd3df51dabc.apk,staging,人工确认后再清理文件
releases,,staging/02bf2a10-22a0-4dbd-8fed-c432da1c3481.apk,staging,人工确认后再清理文件
releases,,staging/e52e69b3-efb5-4607-99d4-ef0acb726d2f.apk,staging,人工确认后再清理文件
releases,,staging/519f984c-5815-4676-a995-fbc6345fec43.apk,staging,人工确认后再清理文件
releases,,staging/c7b3ff7b-7f9d-4e54-867a-c346e90e8f7e.apk,staging,人工确认后再清理文件
releases,,staging/6b39054d-ad83-4e7c-a873-8420808ec30e.apk,staging,人工确认后再清理文件
releases,,staging/f3f5faca-bce7-4a33-b9ba-cd00d46dc9eb.apk,staging,人工确认后再清理文件
releases,,staging/e378ebb0-d4e4-4dd0-a72e-30f120c10b33.apk,staging,人工确认后再清理文件
releases,,staging/a0efba29-5eff-4789-8fac-b770b8ef5200.apk,staging,人工确认后再清理文件
releases,,staging/4c2917b7-6c18-4cc7-b347-3bb97b930e22.apk,staging,人工确认后再清理文件
releases,,staging/1881096a-ff5c-43cc-8e3a-4bbcfc8ee4ba.apk,staging,人工确认后再清理文件
releases,,staging/99a1ecd1-ffe9-42fc-ac7a-87f0e9159bd2.apk,staging,人工确认后再清理文件
releases,,staging/8faa50e7-30cb-4728-84f0-06b4ddf9b3a3.apk,staging,人工确认后再清理文件
